Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200926171626;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200926171626;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200926171626;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200926171626;
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200926171627;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200926171627;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200926171627;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;;;;;;;;;;;;hand;left;17,96722;4,344096;0;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;;;;;;;;;;;;ray;left;0,0555948;2,599934;0;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;;;;;;;;;;;;hand;right;0,2554521;4,333672;0;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;;;;;;;;;;;;ray;right;16,1776;0;0;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;;;;;;;;;hand;left;0;0;1;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;;;;;;;;;ray;left;0;0;1;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;;;;;;;;;hand;right;3,810409;0;1;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;;;;;;;;;ray;right;5,888419;0;1;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;4;20200926173029;20200926173136;8-11-;8-11;2;2;SMallK8-SMallO11-;hand;left;0;0;2;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;4;20200926173029;20200926173136;8-11-;8-11;2;2;SMallK8-SMallO11-;ray;left;0,1784628;0;2;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;4;20200926173029;20200926173136;8-11-;8-11;2;2;SMallK8-SMallO11-;hand;right;0;0;2;;;;;;20200926171627;
16;oculus_touch;20200926171650;20200926172353;20200926172857;20200926172953;3;4;20200926173029;20200926173136;8-11-;8-11;2;2;SMallK8-SMallO11-;ray;right;0,4664592;0;2;;;;;;20200926171627;
