Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
15;oculus_touch;20200818152617;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;;;;;;;;;;;;hand;left;25,23408;5,310642;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;;;;;;;;;;;;ray;left;1,922523;5,543818;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;;;;;;;;;;;;hand;right;10,97767;5,344089;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;;;;;;;;;;;;ray;right;9,732784;0;0;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;;;;;;;;;hand;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;;;;;;;;;ray;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;;;;;;;;;hand;right;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;;;;;;;;;ray;right;12,13294;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;10;20200818154631;20200818154822;11-;10;1;0;ScatterplotOverlay111-;hand;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;10;20200818154631;20200818154822;11-;10;1;0;ScatterplotOverlay111-;ray;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;10;20200818154631;20200818154822;11-;10;1;0;ScatterplotOverlay111-;hand;right;64,27856;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;10;20200818154631;20200818154822;11-;10;1;0;ScatterplotOverlay111-;ray;right;31,93332;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;11;20200818154834;20200818155030;3-0-10-;3-0-11;3;2;ScatterplotOverlay13-ScatterplotOverlay10-ScatterplotOverlay110-;hand;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;11;20200818154834;20200818155030;3-0-10-;3-0-11;3;2;ScatterplotOverlay13-ScatterplotOverlay10-ScatterplotOverlay110-;ray;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;11;20200818154834;20200818155030;3-0-10-;3-0-11;3;2;ScatterplotOverlay13-ScatterplotOverlay10-ScatterplotOverlay110-;hand;right;69,04416;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;11;20200818154834;20200818155030;3-0-10-;3-0-11;3;2;ScatterplotOverlay13-ScatterplotOverlay10-ScatterplotOverlay110-;ray;right;3,877572;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;2;20200818155045;20200818155323;11-3-0-;3-8-11;3;2;ScatterplotOverlay111-ScatterplotOverlay13-ScatterplotOverlay10-;hand;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;2;20200818155045;20200818155323;11-3-0-;3-8-11;3;2;ScatterplotOverlay111-ScatterplotOverlay13-ScatterplotOverlay10-;ray;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;2;20200818155045;20200818155323;11-3-0-;3-8-11;3;2;ScatterplotOverlay111-ScatterplotOverlay13-ScatterplotOverlay10-;hand;right;74,01257;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;2;20200818155045;20200818155323;11-3-0-;3-8-11;3;2;ScatterplotOverlay111-ScatterplotOverlay13-ScatterplotOverlay10-;ray;right;3,300301;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;4;20200818155341;20200818155532;11-8-;8-11;2;2;ScatterplotOverlay111-ScatterplotOverlay18-;hand;left;0,2999111;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;4;20200818155341;20200818155532;11-8-;8-11;2;2;ScatterplotOverlay111-ScatterplotOverlay18-;ray;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;4;20200818155341;20200818155532;11-8-;8-11;2;2;ScatterplotOverlay111-ScatterplotOverlay18-;hand;right;27,06565;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;4;20200818155341;20200818155532;11-8-;8-11;2;2;ScatterplotOverlay111-ScatterplotOverlay18-;ray;right;3,455932;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;1;20200818155558;20200818155835;1-5-;5-1;2;2;ScatterplotOverlay11-ScatterplotOverlay15-;hand;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;1;20200818155558;20200818155835;1-5-;5-1;2;2;ScatterplotOverlay11-ScatterplotOverlay15-;ray;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;1;20200818155558;20200818155835;1-5-;5-1;2;2;ScatterplotOverlay11-ScatterplotOverlay15-;hand;right;89,58958;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;1;20200818155558;20200818155835;1-5-;5-1;2;2;ScatterplotOverlay11-ScatterplotOverlay15-;ray;right;5,700244;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;9;20200818155857;20200818160201;10-;0;1;0;ScatterplotOverlay110-;hand;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;9;20200818155857;20200818160201;10-;0;1;0;ScatterplotOverlay110-;ray;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;9;20200818155857;20200818160201;10-;0;1;0;ScatterplotOverlay110-;hand;right;115,2895;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;9;20200818155857;20200818160201;10-;0;1;0;ScatterplotOverlay110-;ray;right;17,27791;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;12;20200818160210;20200818160406;5-2-;2-3;2;1;ScatterplotOverlay15-ScatterplotOverlay12-;hand;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;12;20200818160210;20200818160406;5-2-;2-3;2;1;ScatterplotOverlay15-ScatterplotOverlay12-;ray;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;12;20200818160210;20200818160406;5-2-;2-3;2;1;ScatterplotOverlay15-ScatterplotOverlay12-;hand;right;48,51102;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;12;20200818160210;20200818160406;5-2-;2-3;2;1;ScatterplotOverlay15-ScatterplotOverlay12-;ray;right;8,133507;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;5;20200818160417;20200818160547;11-8-;3-12;2;0;ScatterplotOverlay111-ScatterplotOverlay18-;hand;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;5;20200818160417;20200818160547;11-8-;3-12;2;0;ScatterplotOverlay111-ScatterplotOverlay18-;ray;left;0;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;5;20200818160417;20200818160547;11-8-;3-12;2;0;ScatterplotOverlay111-ScatterplotOverlay18-;hand;right;49,0103;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;5;20200818160417;20200818160547;11-8-;3-12;2;0;ScatterplotOverlay111-ScatterplotOverlay18-;ray;right;5,15518;0;2;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;7;20200818160558;20200818160720;11-;8-11;1;1;ScatterplotOverlay111-;hand;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;7;20200818160558;20200818160720;11-;8-11;1;1;ScatterplotOverlay111-;ray;left;0;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;7;20200818160558;20200818160720;11-;8-11;1;1;ScatterplotOverlay111-;hand;right;45,82212;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;7;20200818160558;20200818160720;11-;8-11;1;1;ScatterplotOverlay111-;ray;right;19,27782;0;3;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;8;20200818160732;20200818160918;8-;14;1;0;ScatterplotOverlay18-;hand;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;8;20200818160732;20200818160918;8-;14;1;0;ScatterplotOverlay18-;ray;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;8;20200818160732;20200818160918;8-;14;1;0;ScatterplotOverlay18-;hand;right;67,95718;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;8;20200818160732;20200818160918;8-;14;1;0;ScatterplotOverlay18-;ray;right;3,633593;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;3;20200818160935;20200818161111;11-;4;1;0;ScatterplotOverlay111-;hand;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;3;20200818160935;20200818161111;11-;4;1;0;ScatterplotOverlay111-;ray;left;0;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;3;20200818160935;20200818161111;11-;4;1;0;ScatterplotOverlay111-;hand;right;62,19987;0;1;;;;;;20200818152658;
15;oculus_touch;20200818152617;20200818153939;20200818154529;20200818154600;2;3;20200818160935;20200818161111;11-;4;1;0;ScatterplotOverlay111-;ray;right;0;0;1;;;;;;20200818152658;
