Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200810153344;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200810153344;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200810153344;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;;;;;;;;;;;;hand;left;5.687608;12.29871;0;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;;;;;;;;;;;;ray;left;0.01108378;9.122034;0;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;;;;;;;;;;;;hand;right;24.23752;12.36773;0;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;;;;;;;;;;;;ray;right;27.75428;0;0;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;;;;;;;;;hand;left;0;0;9;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;;;;;;;;;ray;left;0;0;9;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;;;;;;;;;hand;right;2.834231;0;9;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;;;;;;;;;ray;right;0.6445673;0;9;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;2;20200810155347;20200810155420;11-0-3-;3-8-11;3;2;ScatterplotAnimated111-ScatterplotAnimated10-ScatterplotAnimated13-;hand;left;0;0;3;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;2;20200810155347;20200810155420;11-0-3-;3-8-11;3;2;ScatterplotAnimated111-ScatterplotAnimated10-ScatterplotAnimated13-;ray;left;0;0;3;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;2;20200810155347;20200810155420;11-0-3-;3-8-11;3;2;ScatterplotAnimated111-ScatterplotAnimated10-ScatterplotAnimated13-;hand;right;4.02245;0;3;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;2;20200810155347;20200810155420;11-0-3-;3-8-11;3;2;ScatterplotAnimated111-ScatterplotAnimated10-ScatterplotAnimated13-;ray;right;0.755553;0;3;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;5;20200810155458;20200810155542;13-4-;3-12;2;0;ScatterplotAnimated113-ScatterplotAnimated14-;hand;left;0;0;4;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;5;20200810155458;20200810155542;13-4-;3-12;2;0;ScatterplotAnimated113-ScatterplotAnimated14-;ray;left;0;0;4;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;5;20200810155458;20200810155542;13-4-;3-12;2;0;ScatterplotAnimated113-ScatterplotAnimated14-;hand;right;0;0;4;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;5;20200810155458;20200810155542;13-4-;3-12;2;0;ScatterplotAnimated113-ScatterplotAnimated14-;ray;right;1.222498;0;4;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;3;20200810155620;20200810155815;0-;4;1;0;ScatterplotAnimated10-;hand;left;0;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;3;20200810155620;20200810155815;0-;4;1;0;ScatterplotAnimated10-;ray;left;0;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;3;20200810155620;20200810155815;0-;4;1;0;ScatterplotAnimated10-;hand;right;46.86858;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;3;20200810155620;20200810155815;0-;4;1;0;ScatterplotAnimated10-;ray;right;0.6451072;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;1;20200810155859;20200810160014;5-1-;5-1;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;hand;left;0;0;2;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;1;20200810155859;20200810160014;5-1-;5-1;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;ray;left;0;0;2;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;1;20200810155859;20200810160014;5-1-;5-1;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;hand;right;41.92465;0;2;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;1;20200810155859;20200810160014;5-1-;5-1;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;ray;right;0.5336226;0;2;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;7;20200810160037;20200810160157;11-;8-11;1;1;ScatterplotAnimated111-;hand;left;1.023006;0.4779661;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;7;20200810160037;20200810160157;11-;8-11;1;1;ScatterplotAnimated111-;ray;left;0;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;7;20200810160037;20200810160157;11-;8-11;1;1;ScatterplotAnimated111-;hand;right;20.62581;0.4779661;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;7;20200810160037;20200810160157;11-;8-11;1;1;ScatterplotAnimated111-;ray;right;0.5669513;0;1;;;;;;20200810153344;
11;oculus_touch;20200810153404;20200810154715;20200810155136;20200810155306;1;4;20200810160207;20200810160255;11-8-;8-11;2;2;ScatterplotAnimated111-ScatterplotAnimated18-;hand;left;0;0;4;;;;;;20200810153344;
