Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150311;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150311;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150311;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150311;20200813150259;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150311;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150311;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150311;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150311;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150358;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150358;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150358;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150358;20200813150312;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150358;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150358;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150358;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150358;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150435;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150435;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150435;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150435;20200813150429;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150435;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150435;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150435;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150435;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150449;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150449;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150449;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150449;20200813150448;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150449;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150449;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150449;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150449;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150512;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150512;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150512;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150512;20200813150510;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;;;;;;;;;;;;hand;left;10.14432;4.456455;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;;;;;;;;;;;;ray;left;0;7.487595;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;;;;;;;;;;;;hand;right;7.377035;4.457094;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;;;;;;;;;;;;ray;right;15.82325;0;0;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;20200813152657;20200813152743;2;;;;;;;;;hand;left;0;0;1;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;20200813152657;20200813152743;2;;;;;;;;;ray;left;0;0;1;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;20200813152657;20200813152743;2;;;;;;;;;hand;right;17.57797;0;1;;;;;20200813150512;20200813150557;
12;oculus_touch;20200813150212;20200813151835;20200813152657;20200813152743;2;;;;;;;;;ray;right;2.422339;0;1;;;;;20200813150512;20200813150557;
