Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200814104708;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200814104708;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200814104708;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200814104708;
13;oculus_touch;20200814104714;20200814110202;;;;;;;;;;;;hand;left;51.74766;27.4991;0;;;;;;20200814104708;
13;oculus_touch;20200814104714;20200814110202;;;;;;;;;;;;ray;left;11.67717;0;0;;;;;;20200814104708;
13;oculus_touch;20200814104714;20200814110202;;;;;;;;;;;;hand;right;23.15836;27.53278;0;;;;;;20200814104708;
13;oculus_touch;20200814104714;20200814110202;;;;;;;;;;;;ray;right;16.64593;10.0448;0;;;;;;20200814104708;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;hand;left;8.324828;4.189332;0;;;;;20200814110655;20200814104708;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;ray;left;9.844931;0;0;;;;;20200814110655;20200814104708;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;hand;right;20.39019;2.443335;0;;;;;20200814110655;20200814104708;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;ray;right;17.20087;11.31274;0;;;;;20200814110655;20200814104708;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;hand;left;8.324828;4.189332;0;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;ray;left;9.844931;0;0;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;hand;right;20.39019;2.443335;0;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814110223;;3;;;;;;;;;ray;right;17.20087;11.31274;0;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;left;0;0;1;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;left;0;0;1;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;right;0.3334557;0;1;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;right;16.60062;0;1;;;;;20200814110655;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;left;0;0;1;;;;;20200814112624;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;left;0;0;1;;;;;20200814112624;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;right;0.3334557;0;1;;;;;20200814112624;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;right;16.60062;0;1;;;;;20200814112624;20200814110754;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;left;0;0;1;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;left;0;0;1;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;hand;right;0.3334557;0;1;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;;;;;;;;;ray;right;16.60062;0;1;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;5;20200814113137;20200814113551;3-12-;3-12;2;2;SMallF3-SMallH12-;hand;left;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;5;20200814113137;20200814113551;3-12-;3-12;2;2;SMallF3-SMallH12-;ray;left;47.01461;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;5;20200814113137;20200814113551;3-12-;3-12;2;2;SMallF3-SMallH12-;hand;right;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;5;20200814113137;20200814113551;3-12-;3-12;2;2;SMallF3-SMallH12-;ray;right;109.9315;0.9889991;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;7;20200814113605;20200814113854;11-;8-11;1;1;SMallL11-;hand;left;0;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;7;20200814113605;20200814113854;11-;8-11;1;1;SMallL11-;ray;left;11.91202;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;7;20200814113605;20200814113854;11-;8-11;1;1;SMallL11-;hand;right;0;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;7;20200814113605;20200814113854;11-;8-11;1;1;SMallL11-;ray;right;0;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;4;20200814113923;20200814114045;11-8-;8-11;2;2;SMallL11-SMallI8-;hand;left;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;4;20200814113923;20200814114045;11-8-;8-11;2;2;SMallL11-SMallI8-;ray;left;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;4;20200814113923;20200814114045;11-8-;8-11;2;2;SMallL11-SMallI8-;hand;right;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;4;20200814113923;20200814114045;11-8-;8-11;2;2;SMallL11-SMallI8-;ray;right;0;0;2;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;11;20200814114103;20200814114317;3-10-0-;3-0-11;3;2;SMallF3-SMallK10-SMallP0-;hand;left;0;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;11;20200814114103;20200814114317;3-10-0-;3-0-11;3;2;SMallF3-SMallK10-SMallP0-;ray;left;4.055273;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;11;20200814114103;20200814114317;3-10-0-;3-0-11;3;2;SMallF3-SMallK10-SMallP0-;hand;right;0;0;3;;;;;20200814112624;20200814112950;
13;oculus_touch;20200814104714;20200814110202;20200814112415;20200814112609;3;11;20200814114103;20200814114317;3-10-0-;3-0-11;3;2;SMallF3-SMallK10-SMallP0-;ray;right;3.973693;2.120275;3;;;;;20200814112624;20200814112950;
