Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200823201643;
;oculus_touch;;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;;;;;;;;;;;;hand;left;1,810857;3,645359;0;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;;;;;;;;;;;;ray;left;2,622148;9,878074;0;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;;;;;;;;;;;;hand;right;24,84476;3,645192;0;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;;;;;;;;;;;;ray;right;22,48936;0;0;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;;;;;;;;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;;;;;;;;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;;;;;;;;hand;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;;;;;;;;ray;right;8,8103;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;9;20200823204613;20200823204917;1-;0;1;0;SMallK1-;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;9;20200823204613;20200823204917;1-;0;1;0;SMallK1-;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;9;20200823204613;20200823204917;1-;0;1;0;SMallK1-;hand;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;9;20200823204613;20200823204917;1-;0;1;0;SMallK1-;ray;right;7,778162;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;2;20200823204935;20200823205441;5-1-8-;3-8-11;3;1;SMallN5-SMallK1-SMallH8-;hand;left;0;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;2;20200823204935;20200823205441;5-1-8-;3-8-11;3;1;SMallN5-SMallK1-SMallH8-;ray;left;0;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;2;20200823204935;20200823205441;5-1-8-;3-8-11;3;1;SMallN5-SMallK1-SMallH8-;hand;right;0,4222303;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;2;20200823204935;20200823205441;5-1-8-;3-8-11;3;1;SMallN5-SMallK1-SMallH8-;ray;right;37,65695;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;1;20200823205509;20200823205909;1-5-;5-1;2;2;SMallK1-SMallN5-;hand;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;1;20200823205509;20200823205909;1-5-;5-1;2;2;SMallK1-SMallN5-;ray;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;1;20200823205509;20200823205909;1-5-;5-1;2;2;SMallK1-SMallN5-;hand;right;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;1;20200823205509;20200823205909;1-5-;5-1;2;2;SMallK1-SMallN5-;ray;right;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;8;20200823205953;20200823210146;14-;14;1;1;SMallL14-;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;8;20200823205953;20200823210146;14-;14;1;1;SMallL14-;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;8;20200823205953;20200823210146;14-;14;1;1;SMallL14-;hand;right;0,3331002;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;8;20200823205953;20200823210146;14-;14;1;1;SMallL14-;ray;right;4,721963;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;11;20200823210212;20200823210533;3-12-5-;12-3-11;3;2;SMallE3-SMallP12-SMallN5-;hand;left;0;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;11;20200823210212;20200823210533;3-12-5-;12-3-11;3;2;SMallE3-SMallP12-SMallN5-;ray;left;0;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;11;20200823210212;20200823210533;3-12-5-;12-3-11;3;2;SMallE3-SMallP12-SMallN5-;hand;right;0;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;11;20200823210212;20200823210533;3-12-5-;12-3-11;3;2;SMallE3-SMallP12-SMallN5-;ray;right;0,2223582;0;3;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;3;20200823210610;20200823210842;4-;4;1;1;SMallB4-;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;3;20200823210610;20200823210842;4-;4;1;1;SMallB4-;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;3;20200823210610;20200823210842;4-;4;1;1;SMallB4-;hand;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;3;20200823210610;20200823210842;4-;4;1;1;SMallB4-;ray;right;0,418843;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;5;20200823210900;20200823211101;12-3-;3-12;2;2;SMallP12-SMallE3-;hand;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;5;20200823210900;20200823211101;12-3-;3-12;2;2;SMallP12-SMallE3-;ray;left;2,478075;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;5;20200823210900;20200823211101;12-3-;3-12;2;2;SMallP12-SMallE3-;hand;right;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;5;20200823210900;20200823211101;12-3-;3-12;2;2;SMallP12-SMallE3-;ray;right;0,6447768;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;10;20200823211115;20200823211357;1-;1;1;1;SMallK1-;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;10;20200823211115;20200823211357;1-;1;1;1;SMallK1-;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;10;20200823211115;20200823211357;1-;1;1;1;SMallK1-;hand;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;10;20200823211115;20200823211357;1-;1;1;1;SMallK1-;ray;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;6;20200823211412;20200823211723;1-5-;1-5;2;2;SMallK1-SMallN5-;hand;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;6;20200823211412;20200823211723;1-5-;1-5;2;2;SMallK1-SMallN5-;ray;left;3,51091;9,394039;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;6;20200823211412;20200823211723;1-5-;1-5;2;2;SMallK1-SMallN5-;hand;right;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;6;20200823211412;20200823211723;1-5-;1-5;2;2;SMallK1-SMallN5-;ray;right;14,37236;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;7;20200823211750;20200823212005;11-;8-11;1;1;SMallO11-;hand;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;7;20200823211750;20200823212005;11-;8-11;1;1;SMallO11-;ray;left;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;7;20200823211750;20200823212005;11-;8-11;1;1;SMallO11-;hand;right;0;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;7;20200823211750;20200823212005;11-;8-11;1;1;SMallO11-;ray;right;52,5113;0;1;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;4;20200823212031;20200823212248;8-11-;8-11;2;2;SMallH8-SMallO11-;hand;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;4;20200823212031;20200823212248;8-11-;8-11;2;2;SMallH8-SMallO11-;ray;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;4;20200823212031;20200823212248;8-11-;8-11;2;2;SMallH8-SMallO11-;hand;right;0,3335097;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;4;20200823212031;20200823212248;8-11-;8-11;2;2;SMallH8-SMallO11-;ray;right;73,40101;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;1-5-;5-1;2;2;SMallK1-SMallN5-;hand;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;1-5-;5-1;2;2;SMallK1-SMallN5-;ray;left;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;1-5-;5-1;2;2;SMallK1-SMallN5-;hand;right;0;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;1-5-;5-1;2;2;SMallK1-SMallN5-;ray;right;46,92324;0;2;;;;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;;;;;;hand;left;0;0;0;4;4;4;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;;;;;;ray;left;0;0;0;4;4;4;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;;;;;;hand;right;0;0;0;4;4;4;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;12;20200823212304;20200823212413;;;;;;ray;right;0;0;0;4;4;4;;;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;20200823212304;20200823212413;;;;;;hand;left;0;0;0;4;4;4;;20200823212541;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;20200823212304;20200823212413;;;;;;ray;left;0;0;0;4;4;4;;20200823212541;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;20200823212304;20200823212413;;;;;;hand;right;0;0;0;4;4;4;;20200823212541;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;20200823212304;20200823212413;;;;;;ray;right;0;0;0;4;4;4;;20200823212541;20200823201643;
26;oculus_touch;20200823201849;20200823203304;20200823204325;20200823204529;3;;20200823212304;20200823212413;;;;;;hand;left;0;0;0;4;4;4;;20200823212541;20200823214932;
