Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
24;oculus_touch;20200823131639;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;;;;;;;;;;;;hand;left;0,0557519;12,14382;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;;;;;;;;;;;;ray;left;6,499704;3,144572;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;;;;;;;;;;;;hand;right;10,12431;12,133;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;;;;;;;;;;;;ray;right;17,88941;5,633254;0;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;;;;;;;;;hand;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;;;;;;;;;ray;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;;;;;;;;;hand;right;1,900412;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;;;;;;;;;ray;right;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;2;20200823133101;20200823133300;8-5-11-;3-8-11;3;2;ScatterplotAnimated18-ScatterplotAnimated15-ScatterplotAnimated111-;hand;left;0;0;3;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;2;20200823133101;20200823133300;8-5-11-;3-8-11;3;2;ScatterplotAnimated18-ScatterplotAnimated15-ScatterplotAnimated111-;ray;left;0;0;3;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;2;20200823133101;20200823133300;8-5-11-;3-8-11;3;2;ScatterplotAnimated18-ScatterplotAnimated15-ScatterplotAnimated111-;hand;right;71,38912;0;3;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;2;20200823133101;20200823133300;8-5-11-;3-8-11;3;2;ScatterplotAnimated18-ScatterplotAnimated15-ScatterplotAnimated111-;ray;right;1,911204;0;3;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;1;20200823133327;20200823133449;14-15-;5-1;2;0;ScatterplotAnimated114-ScatterplotAnimated115-;hand;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;1;20200823133327;20200823133449;14-15-;5-1;2;0;ScatterplotAnimated114-ScatterplotAnimated115-;ray;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;1;20200823133327;20200823133449;14-15-;5-1;2;0;ScatterplotAnimated114-ScatterplotAnimated115-;hand;right;44,60278;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;1;20200823133327;20200823133449;14-15-;5-1;2;0;ScatterplotAnimated114-ScatterplotAnimated115-;ray;right;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;6;20200823133458;20200823133537;1-5-;1-5;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;hand;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;6;20200823133458;20200823133537;1-5-;1-5;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;ray;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;6;20200823133458;20200823133537;1-5-;1-5;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;hand;right;14,01165;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;6;20200823133458;20200823133537;1-5-;1-5;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;ray;right;0,7788159;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;10;20200823133557;20200823133759;5-;1;1;0;ScatterplotAnimated15-;hand;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;10;20200823133557;20200823133759;5-;1;1;0;ScatterplotAnimated15-;ray;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;10;20200823133557;20200823133759;5-;1;1;0;ScatterplotAnimated15-;hand;right;22,87995;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;10;20200823133557;20200823133759;5-;1;1;0;ScatterplotAnimated15-;ray;right;5,645974;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;9;20200823133815;20200823134144;0-;0;1;1;ScatterplotAnimated10-;hand;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;9;20200823133815;20200823134144;0-;0;1;1;ScatterplotAnimated10-;ray;left;1,189013;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;9;20200823133815;20200823134144;0-;0;1;1;ScatterplotAnimated10-;hand;right;40,87975;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;9;20200823133815;20200823134144;0-;0;1;1;ScatterplotAnimated10-;ray;right;1,054856;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;7;20200823134152;20200823134340;11-;8-11;1;1;ScatterplotAnimated111-;hand;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;7;20200823134152;20200823134340;11-;8-11;1;1;ScatterplotAnimated111-;ray;left;0;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;7;20200823134152;20200823134340;11-;8-11;1;1;ScatterplotAnimated111-;hand;right;34,95582;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;7;20200823134152;20200823134340;11-;8-11;1;1;ScatterplotAnimated111-;ray;right;6,402338;0;1;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;5;20200823134400;20200823134451;12-3-;3-12;2;2;ScatterplotAnimated112-ScatterplotAnimated13-;hand;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;5;20200823134400;20200823134451;12-3-;3-12;2;2;ScatterplotAnimated112-ScatterplotAnimated13-;ray;left;0;0;2;;;;;;20200823131702;
24;oculus_touch;20200823131639;20200823132522;20200823133012;20200823133045;1;5;20200823134400;20200823134451;12-3-;3-12;2;2;ScatterplotAnimated112-ScatterplotAnimated13-;hand;right;17,70018;0;2;;;;;;20200823131702;
