Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
14;oculus_touch;20200818104716;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;;;;;;;;;;;;hand;left;46.55766;14.649;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;;;;;;;;;;;;ray;left;1.831378;6.741546;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;;;;;;;;;;;;hand;right;27.93323;14.67032;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;;;;;;;;;;;;ray;right;39.31657;1.799764;0;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;;;;;;;;;hand;left;0;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;;;;;;;;;ray;left;0;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;;;;;;;;;hand;right;0;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;;;;;;;;;ray;right;4.934417;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;6;20200818110451;20200818110705;5-1-;1-5;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;hand;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;6;20200818110451;20200818110705;5-1-;1-5;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;ray;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;6;20200818110451;20200818110705;5-1-;1-5;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;hand;right;14.65693;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;6;20200818110451;20200818110705;5-1-;1-5;2;2;ScatterplotAnimated15-ScatterplotAnimated11-;ray;right;7.089345;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;3;20200818110721;20200818110945;4-;4;1;1;ScatterplotAnimated14-;hand;left;0;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;3;20200818110721;20200818110945;4-;4;1;1;ScatterplotAnimated14-;ray;left;0;1.15573;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;3;20200818110721;20200818110945;4-;4;1;1;ScatterplotAnimated14-;hand;right;0;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;3;20200818110721;20200818110945;4-;4;1;1;ScatterplotAnimated14-;ray;right;12.00146;0;1;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;12;20200818110955;20200818111059;2-3-;2-3;2;2;ScatterplotAnimated12-ScatterplotAnimated13-;hand;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;12;20200818110955;20200818111059;2-3-;2-3;2;2;ScatterplotAnimated12-ScatterplotAnimated13-;ray;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;12;20200818110955;20200818111059;2-3-;2-3;2;2;ScatterplotAnimated12-ScatterplotAnimated13-;hand;right;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;12;20200818110955;20200818111059;2-3-;2-3;2;2;ScatterplotAnimated12-ScatterplotAnimated13-;ray;right;8.679147;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;1;20200818111106;20200818111253;1-5-;5-1;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;hand;left;0;0;4;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;1;20200818111106;20200818111253;1-5-;5-1;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;ray;left;0;0;4;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;1;20200818111106;20200818111253;1-5-;5-1;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;hand;right;0;0;4;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;1;20200818111106;20200818111253;1-5-;5-1;2;2;ScatterplotAnimated11-ScatterplotAnimated15-;ray;right;15.81215;0;4;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;4;20200818111304;20200818111558;11-8-;8-11;2;2;ScatterplotAnimated111-ScatterplotAnimated18-;hand;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;4;20200818111304;20200818111558;11-8-;8-11;2;2;ScatterplotAnimated111-ScatterplotAnimated18-;ray;left;0;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;4;20200818111304;20200818111558;11-8-;8-11;2;2;ScatterplotAnimated111-ScatterplotAnimated18-;hand;right;4.777588;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;4;20200818111304;20200818111558;11-8-;8-11;2;2;ScatterplotAnimated111-ScatterplotAnimated18-;ray;right;17.99003;0;2;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;10;20200818111609;20200818112139;9-;10;1;0;ScatterplotAnimated19-;hand;left;0;0;3;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;10;20200818111609;20200818112139;9-;10;1;0;ScatterplotAnimated19-;ray;left;0;0;3;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;10;20200818111609;20200818112139;9-;10;1;0;ScatterplotAnimated19-;hand;right;6.12299;0;3;;;;;;20200818104725;
14;oculus_touch;20200818104716;20200818105941;20200818110322;20200818110402;1;10;20200818111609;20200818112139;9-;10;1;0;ScatterplotAnimated19-;ray;right;41.44683;0;3;;;;;;20200818104725;
