Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200827152701;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152703;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152705;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152707;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152709;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152711;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152713;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152715;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152717;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152719;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152721;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152723;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152725;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152727;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152729;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152731;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152733;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152735;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152737;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152739;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152741;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152743;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152745;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152747;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152749;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152751;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152753;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152755;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152757;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152759;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152801;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200827152803;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
