Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200823151745;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151747;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151749;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151751;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151753;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151755;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151757;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151759;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151801;0;0;;;0,6875;0,6875;1,890625;0;0;0,09503529;1,695737;-0,2486226;(0,3, 0,7, 0,7)
20200823151804;0;0;;;0,6875;0,6875;1,890625;0;0;-0,1094751;1,63798;0,1933254;(-0,3, -0,4, 0,9)
20200823151806;0;0;;;0,6875;0,6875;1,890625;0;0;-0,1547241;1,681664;0,1376285;(0,1, -0,1, 1,0)
20200823151808;0;0;;;0,6875;0,6875;1,890625;0;0;0,05821006;1,677483;0,07523224;(0,1, -0,1, 1,0)
20200823151810;0;0;;;0,6875;0,6875;1,890625;0;0;0,06459174;1,689337;0,03804532;(0,0, 0,1, 1,0)
20200823151812;0;0;;;0,6875;0,6875;1,890625;0;0;0,06104772;1,69044;0,03757922;(-0,1, 0,2, 1,0)
20200823151814;0;0;;;0,6875;0,6875;1,890625;0;0;0,06362329;1,688476;0,05228118;(0,0, 0,2, 1,0)
20200823151816;0;0;;;0,6875;0,6875;1,890625;0;0;0,05775526;1,693083;0,07020815;(-0,1, 0,2, 1,0)
20200823151818;0;0;;;0,6875;0,6875;1,890625;0;0;0,04512735;1,688676;0,07928676;(0,0, 0,1, 1,0)
20200823151820;0;0;;;0,6875;0,6875;1,890625;0;0;0,04511771;1,681333;0,05338984;(0,0, 0,0, 1,0)
20200823151822;0;0;;;0,6875;0,6875;1,890625;0;0;0,04757954;1,683929;0,05007491;(0,0, 0,1, 1,0)
20200823151824;0;0;;;0,6875;0,6875;1,890625;0;0;0,0472641;1,685578;0,04017151;(0,0, 0,1, 1,0)
20200823151826;0;0;;;0,6875;0,6875;1,890625;0;0;0,0479682;1,68595;0,03863499;(0,0, 0,1, 1,0)
20200823151828;0;0;;;0,6875;0,6875;1,890625;0;0;0,04851951;1,685503;0,03180691;(0,0, 0,1, 1,0)
20200823151830;0;0;;;0,6875;0,6875;1,890625;0;0;0,04884155;1,687703;0,02778554;(0,0, 0,1, 1,0)
20200823151832;0;0;;;0,6875;0,6875;1,890625;0;0;0,05081461;1,68939;0,03585625;(-0,1, 0,1, 1,0)
20200823151834;0;0;;;0,6875;0,6875;1,890625;0;0;0,04938434;1,695751;0,01807588;(-0,1, 0,2, 1,0)
20200823151836;0;0;;;0,6875;0,6875;1,890625;0;0;0,05593435;1,697013;0,01760932;(-0,1, 0,2, 1,0)
20200823151838;0;0;;;0,6875;0,6875;1,890625;0;0;0,05530417;1,695203;0,02195964;(-0,1, 0,2, 1,0)
20200823151840;0;0;;;0,6875;0,6875;1,890625;0;0;0,05583423;1,696761;0,01266714;(-0,1, 0,2, 1,0)
20200823151842;0;0;;;0,6875;0,6875;1,890625;0;0;0,0513901;1,695797;0,01522312;(-0,1, 0,2, 1,0)
20200823151844;0;0;;;0,6875;0,6875;1,890625;0;0;0,04437286;1,696047;0,02932884;(-0,1, 0,2, 1,0)
20200823151846;0;0;;;0,6875;0,6875;1,890625;0;0;0,04624866;1,695939;0,02824428;(-0,1, 0,2, 1,0)
20200823151848;0;0;;;0,6875;0,6875;1,890625;0;0;0,04815431;1,696744;0,02381839;(-0,1, 0,2, 1,0)
20200823151850;0;0;;;0,6875;0,6875;1,890625;0;0;0,04479387;1,695336;0,02178787;(-0,1, 0,2, 1,0)
20200823151852;0;0;;;0,6875;0,6875;1,890625;0;0;0,04237299;1,696125;0,01327733;(-0,1, 0,2, 1,0)
20200823151854;0;0;;;0,6875;0,6875;1,890625;0;0;0,01036122;1,66722;-0,1352301;(0,3, -0,3, 0,9)
20200823151856;0;0;;;0,6875;0,6875;1,890625;0;0;0,08788504;1,655041;-0,1462849;(0,3, -0,3, 0,9)
20200823151858;0;0;;;0,6875;0,6875;1,890625;0;0;0,0914322;1,657315;-0,1517226;(0,2, -0,3, 0,9)
20200823151900;0;0;;;0,6875;0,6875;1,890625;0;0;0,09411511;1,657291;-0,1492309;(0,3, -0,3, 0,9)
20200823151902;0;0;;;0,6875;0,6875;1,890625;0;0;0,08214323;1,647893;-0,1468557;(0,1, -0,4, 0,9)
20200823151904;0;0;;;0,6875;0,6875;1,890625;0;0;0,08204597;1,70126;-0,1932694;(-0,1, 0,2, 1,0)
20200823151906;0;0;;;0,6875;0,6875;1,890625;0;0;0,07750062;1,703879;-0,1715689;(0,0, 0,3, 1,0)
20200823151908;0;0;;;0,6875;0,6875;1,890625;0;0;0,0821351;1,703495;-0,1674055;(0,0, 0,2, 1,0)
20200823151910;0;0;;;0,6875;0,6875;1,890625;0;0;0,09644136;1,653769;-0,124883;(0,2, -0,4, 0,9)
20200823151912;0;0;;;0,6875;0,6875;1,890625;0;0;0,1083393;1,627627;-0,1174243;(0,2, -0,6, 0,8)
20200823151914;0;0;;;0,6875;0,6875;1,890625;0;0;0,0637586;1,63493;-0,1428946;(-0,2, -0,5, 0,8)
