Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200828102338;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200828102340;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200828102342;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200828102344;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200828102346;0;0;;;0.6875;0.7625;2.096875;0;0;-0.5910742;0.8671933;1.053334;(-1.0, -0.2, -0.2)
20200828102348;0;0;;;0.6875;0.7625;2.096875;0;0;-0.2061562;1.335958;0.3993353;(-0.3, -0.4, 0.9)
20200828102351;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1913641;1.3299;0.2533627;(0.0, 0.2, 1.0)
20200828102353;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1753787;1.468665;0.2855044;(0.0, 0.2, 1.0)
20200828102355;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1870692;1.340643;0.2405208;(0.0, 0.1, 1.0)
20200828102357;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1844251;1.334271;0.2418632;(0.0, 0.0, 1.0)
20200828102359;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1797436;1.336424;0.2360394;(0.1, 0.1, 1.0)
20200828102401;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1802558;1.335395;0.2258491;(0.0, 0.0, 1.0)
20200828102403;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1819035;1.340073;0.2116029;(0.0, 0.1, 1.0)
20200828102405;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1864541;1.341639;0.1951827;(0.1, 0.2, 1.0)
20200828102407;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1746765;1.344252;0.2031831;(0.1, 0.1, 1.0)
20200828102409;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1845849;1.348162;0.1931264;(0.0, 0.2, 1.0)
20200828102411;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1885988;1.347713;0.1934236;(0.1, 0.2, 1.0)
20200828102413;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1879561;1.3459;0.1886029;(0.0, 0.2, 1.0)
20200828102415;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1791799;1.303346;0.2592666;(0.2, -0.3, 0.9)
20200828102417;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1922293;1.343733;0.2168008;(0.0, 0.3, 1.0)
20200828102419;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1874012;1.341938;0.2204505;(0.1, 0.2, 1.0)
20200828102421;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1611816;1.31286;0.2517528;(0.4, -0.2, 0.9)
