Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200822092803;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092805;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092807;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092809;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092811;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092813;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092815;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092817;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092819;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092821;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092823;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092825;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092827;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092829;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092831;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200822092834;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07416879;1,341524;0,2378159;(0,1, -0,2, 1,0)
20200822092836;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08258027;1,340623;0,2318382;(0,1, -0,3, 1,0)
20200822092838;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08414564;1,326259;0,2260324;(0,1, -0,4, 0,9)
20200822092840;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08255361;1,428343;0,2917875;(0,2, 0,0, 1,0)
20200822092842;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1211469;1,485881;0,3212587;(0,0, -0,2, 1,0)
20200822092844;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1211469;1,485881;0,3212587;(0,0, -0,2, 1,0)
20200822092846;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1036666;1,361896;0,1982483;(0,1, -0,1, 1,0)
20200822092848;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1211414;1,384615;0,2888595;(-0,1, 0,0, 1,0)
20200822092850;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1064953;1,397652;0,2642632;(0,1, 0,1, 1,0)
20200822092852;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1247445;1,408218;0,3613818;(-0,1, -0,3, 1,0)
20200822092854;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07417178;1,335943;0,2523946;(0,0, -0,4, 0,9)
20200822092856;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07968991;1,388045;0,1510862;(0,0, 0,1, 1,0)
20200822092858;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07889464;1,386965;0,1942672;(0,0, 0,0, 1,0)
20200822092900;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07478642;1,386412;0,1901823;(0,0, 0,0, 1,0)
20200822092902;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07388189;1,383811;0,184986;(0,0, 0,0, 1,0)
20200822092904;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09061946;1,389487;0,1704427;(-0,1, 0,0, 1,0)
20200822092906;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09364158;1,388785;0,1923765;(0,0, 0,0, 1,0)
20200822092908;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09152345;1,385049;0,2009882;(-0,1, -0,1, 1,0)
20200822092910;0;0;;;0,6875;0,5875;1,615625;0;0;-0,03579681;1,392308;0,1762359;(0,1, 0,1, 1,0)
20200822092912;0;0;;;0,6875;0,5875;1,615625;0;0;-0,05200577;1,38977;0,1757725;(-0,1, 0,1, 1,0)
20200822092914;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07912458;1,391372;0,1935027;(-0,1, 0,0, 1,0)
20200822092916;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09633997;1,390761;0,1899044;(-0,1, 0,1, 1,0)
20200822092918;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09044974;1,388266;0,194239;(0,1, 0,0, 1,0)
20200822092920;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07618719;1,378924;0,2099773;(0,3, -0,1, 1,0)
20200822092922;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1293772;1,374887;0,2060981;(-0,7, 0,0, 0,7)
20200822092924;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09420808;1,388108;0,1941319;(-0,1, 0,3, 1,0)
20200822092926;0;0;;;0,6875;0,5875;1,615625;0;0;-0,06687836;1,379127;0,2129052;(-0,1, 0,2, 1,0)
20200822092928;0;0;;;0,6875;0,5875;1,615625;0;0;-0,06939948;1,373556;0,227122;(-0,1, 0,2, 1,0)
20200822092930;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07575533;1,375607;0,208842;(0,0, 0,2, 1,0)
20200822092932;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08794464;1,37399;0,2050303;(0,0, 0,1, 1,0)
20200822092934;0;0;;;0,6875;0,5875;1,615625;0;0;-0,0850689;1,372121;0,1997495;(0,0, 0,1, 1,0)
20200822092936;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08208443;1,373003;0,1955855;(0,0, 0,1, 1,0)
20200822092938;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08619584;1,375214;0,1874933;(-0,1, 0,1, 1,0)
20200822092940;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08522256;1,371738;0,1870129;(-0,1, 0,0, 1,0)
20200822092942;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08133283;1,373581;0,1786013;(-0,1, 0,1, 1,0)
20200822092944;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07946733;1,376972;0,1754608;(-0,1, 0,1, 1,0)
20200822092946;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07453366;1,3781;0,1740972;(-0,1, 0,2, 1,0)
20200822092948;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07486503;1,383035;0,1668759;(-0,1, 0,3, 1,0)
20200822092950;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07597013;1,382106;0,1723782;(-0,1, 0,2, 1,0)
20200822092952;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07700281;1,381493;0,1719758;(-0,1, 0,2, 1,0)
20200822092954;0;0;;;0,6875;0,5875;1,615625;0;0;-0,0780163;1,385994;0,1733165;(-0,1, 0,2, 1,0)
20200822092956;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08589996;1,404658;0,1762378;(-0,1, 0,2, 1,0)
20200822092958;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08185534;1,403469;0,1843653;(-0,1, 0,2, 1,0)
20200822093000;0;0;;;0,6875;0,5875;1,615625;0;0;-0,0787601;1,401811;0,1714738;(0,0, 0,2, 1,0)
20200822093002;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08581989;1,396241;0,1775536;(-0,1, 0,2, 1,0)
20200822093004;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08400933;1,393981;0,1821911;(-0,1, 0,1, 1,0)
20200822093006;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08023901;1,389912;0,1900125;(0,0, 0,1, 1,0)
20200822093008;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08307678;1,393976;0,1808816;(-0,1, 0,2, 1,0)
20200822093010;0;0;;;0,6875;0,5875;1,615625;0;0;-0,0908204;1,394191;0,1811464;(-0,1, 0,2, 1,0)
20200822093012;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08542411;1,394066;0,1845072;(-0,1, 0,1, 1,0)
20200822093014;0;0;;;0,6875;0,5875;1,615625;0;0;-0,08615834;1,400061;0,1807148;(-0,1, 0,3, 1,0)
20200822093016;0;0;;;0,6875;0,5875;1,615625;0;0;-0,0973331;1,425211;0,1986027;(-0,1, -0,2, 1,0)
20200822093018;0;0;;;0,6875;0,5875;1,615625;0;0;-0,099925;1,434335;0,216256;(0,0, 0,0, 1,0)
20200822093020;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07183254;1,40073;0,2151051;(0,1, -0,5, 0,9)
20200822093022;0;0;;;0,6875;0,5875;1,615625;0;0;-0,07925253;1,427126;0,1930044;(0,0, 0,0, 1,0)
20200822093024;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09856883;1,434254;0,1659504;(0,0, 0,2, 1,0)
20200822093026;0;0;;;0,6875;0,5875;1,615625;0;0;-0,1081744;1,42755;0,1809897;(0,0, 0,0, 1,0)
20200822093028;0;0;;;0,6875;0,5875;1,615625;0;0;-0,09842935;1,437021;0,1810729;(0,0, 0,1, 1,0)
