Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200810153346;0;0;;;0.7625;0.7625;2.325625;0;0;-0.3101434;1.460406;-0.2914062;(0.1, 0.0, 1.0)
20200810153348;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2654513;1.458152;-0.2926334;(0.0, -0.1, 1.0)
20200810153350;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2433115;1.478717;-0.3256163;(0.1, 0.2, 1.0)
20200810153352;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2283299;1.472403;-0.3234617;(0.1, 0.1, 1.0)
20200810153354;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2273013;1.484526;-0.3562179;(-0.1, 0.2, 1.0)
20200810153356;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2226537;1.478852;-0.3479494;(0.0, 0.2, 1.0)
20200810153358;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2263016;1.47741;-0.3534086;(0.0, 0.1, 1.0)
20200810153400;0;0;;;0.7625;0.7625;2.325625;0;0;-0.3017229;1.470639;-0.333712;(-0.1, 0.1, 1.0)
20200810153402;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2730421;1.468414;-0.3084953;(0.0, 0.1, 1.0)
20200810153404;0;0;;;0.7625;0.7625;2.325625;0;0;-0.265299;1.468168;-0.297425;(0.0, 0.1, 1.0)
20200810153406;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2727609;1.472858;-0.306607;(0.0, 0.1, 1.0)
20200810153408;0;0;;;0.7625;0.7625;2.325625;0;0;-0.3258169;1.46601;-0.304009;(-0.1, 0.1, 1.0)
20200810153410;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2273243;1.4395;-0.2978283;(-0.1, -0.2, 1.0)
20200810153412;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2133389;1.440187;-0.3538492;(0.0, -0.3, 0.9)
20200810153414;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1841575;1.440028;-0.3743465;(0.0, -0.3, 1.0)
20200810153416;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2264081;1.455509;-0.3766047;(-0.2, -0.1, 1.0)
20200810153418;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2201179;1.447301;-0.3534914;(0.0, -0.1, 1.0)
20200810153420;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2785097;1.418692;-0.3461344;(-0.1, -0.4, 0.9)
20200810153422;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2388756;1.387754;-0.3442005;(0.2, -0.6, 0.8)
20200810153424;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1720404;1.4143;-0.3974069;(0.2, -0.5, 0.8)
20200810153426;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1941902;1.469646;-0.4265625;(-0.1, 0.3, 1.0)
20200810153428;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2109141;1.458867;-0.4173028;(-0.1, 0.1, 1.0)
20200810153430;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2168167;1.455122;-0.4248378;(-0.1, 0.1, 1.0)
20200810153432;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2223088;1.45521;-0.3982241;(0.0, 0.0, 1.0)
20200810153434;1;1;;;0.7625;0.7625;2.325625;0;0;-0.1568359;1.457831;-0.3907899;(0.0, 0.2, 1.0)
20200810153436;1;1;;;0.7625;0.7625;2.325625;0;0;-0.1610084;1.45407;-0.4104257;(-0.1, 0.0, 1.0)
20200810153438;1;1;;;0.7625;0.7625;2.325625;0;0;-0.1757114;1.46183;-0.4233949;(-0.1, 0.1, 1.0)
20200810153440;1;1;;;0.7625;0.7625;2.325625;0;0;-0.1830431;1.460554;-0.380824;(-0.2, 0.0, 1.0)
20200810153442;1;1;;;0.7625;0.7625;2.325625;0;0;-0.1535612;1.45715;-0.4084464;(0.0, 0.0, 1.0)
20200810153444;1;1;;;0.7625;0.7625;2.325625;0;0;-0.2432399;1.46831;-0.3960949;(-0.1, 0.3, 1.0)
