Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200826144720;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200826144722;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200826144724;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200826144726;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200826144728;0;0;;;0.6875;0.7625;2.096875;0;0;-0.4895222;0.9766651;0.1649272;(0.6, -0.7, 0.2)
20200826144730;0;0;;;0.6875;0.7625;2.096875;0;0;-0.2029326;1.313024;0.5694607;(-0.3, -0.5, 0.8)
20200826144732;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1703785;1.288412;0.5445322;(-0.2, -0.1, 1.0)
20200826144734;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1630442;1.287566;0.5372304;(-0.2, -0.1, 1.0)
20200826144736;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1634716;1.28902;0.520879;(-0.2, 0.0, 1.0)
20200826144738;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1758636;1.279302;0.5354394;(-0.2, -0.1, 1.0)
20200826144740;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1863829;1.273309;0.5360564;(-0.3, -0.2, 0.9)
20200826144742;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1766186;1.273523;0.5321406;(-0.3, -0.2, 0.9)
20200826144744;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1860366;1.273287;0.5341004;(-0.3, -0.2, 0.9)
20200826144746;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1950331;1.260342;0.5399349;(-0.3, -0.3, 0.9)
20200826144748;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1649394;1.242254;0.5510648;(-0.2, -0.5, 0.9)
20200826144750;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1821348;1.270527;0.5520692;(-0.5, -0.2, 0.8)
20200826144752;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1516871;1.26874;0.5577989;(-0.3, -0.2, 0.9)
20200826144754;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1681342;1.268062;0.5458072;(-0.4, -0.2, 0.9)
20200826144756;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1548805;1.280734;0.5348802;(-0.3, -0.1, 1.0)
20200826144758;0;0;;;0.6875;0.7625;2.096875;0;0;-0.157272;1.27409;0.5375276;(-0.3, -0.1, 0.9)
20200826144800;0;0;;;0.6875;0.7625;2.096875;0;0;-0.143977;1.300687;0.4547819;(-0.2, 0.2, 1.0)
20200826144802;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1382791;1.30354;0.414886;(-0.1, 0.5, 0.9)
20200826144804;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1154851;1.300019;0.3955721;(0.0, 0.4, 0.9)
20200826144806;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1194432;1.294866;0.3961926;(-0.1, 0.4, 0.9)
20200826144808;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1320237;1.27422;0.4452083;(-0.1, 0.0, 1.0)
20200826144810;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1141312;1.295256;0.4007675;(-0.1, 0.4, 0.9)
20200826144812;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1198702;1.297232;0.3856492;(-0.2, 0.4, 0.9)
20200826144814;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1171377;1.294059;0.3933856;(-0.1, 0.4, 0.9)
20200826144816;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1839969;1.381673;0.4791423;(-0.4, 0.3, 0.9)
20200826144818;0;0;;;0.6875;0.7625;2.096875;0;0;-0.129102;1.536124;0.5221361;(-0.6, -0.5, 0.7)
20200826144820;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1686422;1.262293;0.6748271;(0.0, -0.4, 0.9)
20200826144822;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1965386;1.244873;0.6994197;(0.0, -0.6, 0.8)
20200826144824;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1572588;1.31169;0.725521;(-0.3, -0.8, 0.6)
20200826144826;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1344907;1.122662;0.7009747;(-0.1, -0.6, 0.8)
20200826144828;0;0;;;0.6875;0.7625;2.096875;0;0;-0.149388;1.112486;0.7029122;(-0.2, -0.7, 0.7)
20200826144830;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1643635;1.121127;0.688382;(-0.1, -0.6, 0.8)
20200826144832;0;0;;;0.6875;0.7625;2.096875;0;0;-0.13394;1.08916;0.6886602;(-0.2, -0.5, 0.8)
20200826144834;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1744891;1.12021;0.7088768;(-0.3, -0.6, 0.7)
20200826144836;0;0;;;0.6875;0.7625;2.096875;0;0;-0.08609375;1.123134;0.7153199;(-0.1, -0.8, 0.6)
20200826144838;0;0;;;0.6875;0.7625;2.096875;0;0;-0.03158639;1.114765;0.6743091;(0.0, -0.8, 0.6)
