Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200813150144;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150146;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150148;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150150;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150152;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150154;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150156;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150158;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150200;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150202;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150204;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150206;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150208;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150210;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150212;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150214;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150216;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150218;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150220;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150222;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150224;0;0;;;0.7625;0.7625;2.325625;0;0;0;0;0;(0.0, 0.0, 1.0)
20200813150226;0;0;;;0.7625;0.7625;2.325625;0;0;-0.5498772;0.6564053;0.9764666;(-0.4, 0.0, -0.9)
20200813150228;0;0;;;0.7625;0.7625;2.325625;0;0;-0.5433313;0.6568915;0.972753;(-0.4, 0.0, -0.9)
20200813150230;0;0;;;0.7625;0.7625;2.325625;0;0;-0.5519276;0.6978667;0.9227422;(-0.7, -0.5, -0.5)
20200813150232;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2887516;0.8576218;0.8296797;(-0.2, -0.9, 0.2)
20200813150234;0;0;;;0.7625;0.7625;2.325625;0;0;-0.0427179;0.8737115;0.8505022;(0.2, -1.0, 0.1)
20200813150236;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1016655;0.9246081;0.8394558;(0.1, -0.9, 0.3)
20200813150238;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1066198;0.9100941;0.8852401;(0.2, -1.0, 0.2)
20200813150240;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1289293;0.9753779;0.8423257;(0.0, -0.8, 0.6)
20200813150242;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1521195;1.038827;0.803093;(-0.5, -0.4, 0.7)
20200813150244;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1953946;1.029785;0.8109341;(0.1, -0.8, 0.5)
20200813150246;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1250835;1.078136;0.6726888;(0.0, -0.6, 0.8)
20200813150248;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1684908;1.045176;0.791424;(0.5, -0.3, 0.8)
20200813150250;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1663615;0.9268875;0.7927325;(0.6, -0.1, 0.8)
20200813150252;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1743563;0.8927172;0.7778904;(0.6, 0.1, 0.8)
20200813150254;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1800531;0.9428489;0.7227488;(0.3, -0.1, 0.9)
20200813150256;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1625009;1.016122;0.7331493;(0.0, -0.6, 0.8)
20200813150258;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1111398;1.016146;0.6397275;(-0.2, -0.2, 0.9)
20200813150301;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1033875;1.034194;0.6370058;(-0.1, 0.0, 1.0)
20200813150303;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1089332;1.013102;0.6581789;(-0.1, -0.1, 1.0)
20200813150305;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1114892;1.020287;0.644407;(-0.2, 0.0, 1.0)
20200813150307;0;0;;;0.7625;0.7625;2.325625;0;0;-0.100535;1.032883;0.6118144;(-0.2, 0.2, 1.0)
20200813150309;0;0;;;0.7625;0.7625;2.325625;0;0;-0.08899674;1.050146;0.6024337;(-0.2, 0.4, 0.9)
20200813150311;0;0;;;0.7625;0.7625;2.325625;0;0;-0.09350823;1.040089;0.6245011;(-0.2, 0.3, 0.9)
20200813150313;0;0;;;0.7625;0.7625;2.325625;0;0;-0.128992;1.045135;0.6096237;(-0.3, 0.3, 0.9)
20200813150315;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1133567;1.014747;0.6412363;(0.0, -0.2, 1.0)
20200813150317;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1172158;1.048959;0.612031;(-0.1, 0.3, 0.9)
20200813150319;0;0;;;0.7625;0.7625;2.325625;0;0;-0.1192859;1.001923;0.578158;(-0.1, -0.2, 1.0)
20200813150321;0;0;;;0.7625;0.7625;2.325625;0;0;-0.150298;0.9021419;0.8362965;(0.0, -0.8, 0.7)
20200813150323;0;0;;;0.7625;0.7625;2.325625;0;0;-0.08527663;1.345403;0.5785863;(-0.2, 0.4, 0.9)
20200813150325;0;0;;;0.7625;0.7625;2.325625;0;0;-0.296207;1.319427;0.5941217;(0.8, -0.1, 0.6)
20200813150327;0;0;;;0.7625;0.7625;2.325625;0;0;-0.2712024;1.333673;0.5437596;(0.9, 0.0, 0.4)
