Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200822135032;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135034;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135036;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135038;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135040;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135042;0;0;;;0.6875;0.7625;2.096875;0;0;0;0;0;(0.0, 0.0, 1.0)
20200822135044;0;0;;;0.6875;0.7625;2.096875;0;0;-0.5602485;0.723112;1.11267;(0.5, -0.7, -0.5)
20200822135046;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1926837;0.8956614;0.5737143;(0.5, -0.6, -0.7)
20200822135048;0;0;;;0.6875;0.7625;2.096875;0;0;-0.2187748;0.8474055;0.6162943;(0.5, -0.4, -0.8)
20200822135050;0;0;;;0.6875;0.7625;2.096875;0;0;-0.2617857;0.8599125;0.5970486;(0.3, -0.4, -0.9)
20200822135052;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1558412;1.213232;0.6142035;(0.0, -0.4, 0.9)
20200822135054;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1406992;1.242344;0.5243449;(0.0, -0.3, 1.0)
20200822135056;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1473615;1.185192;0.5590893;(-0.1, -0.7, 0.8)
20200822135058;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1340202;1.204397;0.5375192;(0.0, -0.6, 0.8)
20200822135100;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1442678;1.210559;0.5295935;(-0.1, -0.6, 0.8)
20200822135102;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1377881;1.264326;0.4665552;(-0.1, 0.0, 1.0)
20200822135104;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1371398;1.280125;0.4457663;(0.0, 0.4, 0.9)
20200822135106;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1311702;1.272123;0.4441378;(0.0, 0.4, 0.9)
20200822135108;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1224016;1.237176;0.5090357;(0.0, -0.3, 1.0)
20200822135110;0;0;;;0.6875;0.7625;2.096875;0;0;-0.178167;1.277143;0.2009912;(0.0, 0.1, 1.0)
20200822135112;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1870379;1.277836;0.1912921;(0.0, 0.2, 1.0)
20200822135114;0;0;;;0.6875;0.7625;2.096875;0;0;-0.1915568;1.22974;0.1188655;(0.0, -0.3, 0.9)
20200822135116;0;0;;;0.6875;0.7625;2.096875;0;0;-0.196183;1.175939;-0.006345868;(0.2, -0.7, 0.7)
20200822135118;0;0;;;0.6875;0.7625;2.096875;0;0;-0.02028126;1.069829;-0.1335989;(0.1, -1.0, 0.2)
20200822135120;0;0;;;0.6875;0.7625;2.096875;0;0;-0.04697175;1.108102;-0.07262325;(0.0, -0.9, 0.3)
20200822135122;0;0;;;0.6875;0.7625;2.096875;0;0;-0.01074206;1.399036;0.1527181;(0.1, -1.0, 0.2)
20200822135124;0;0;;;0.6875;0.7625;2.096875;0;0;-0.004499041;1.55732;0.0632612;(0.0, -0.8, 0.6)
20200822135126;0;0;;;0.6875;0.7625;2.096875;0;0;-0.0145535;1.551427;0.1642554;(0.1, -0.8, 0.6)
20200822135128;0;0;;;0.6875;0.7625;2.096875;0;0;0.02426573;1.536736;0.1630479;(0.0, -0.8, 0.5)
20200822135130;0;0;;;0.6875;0.7625;2.096875;0;0;0.1193552;1.526366;0.1116721;(0.4, -0.9, 0.2)
20200822135132;0;0;;;0.6875;0.7625;2.096875;0;0;0.04052301;1.545529;0.1767095;(0.1, -0.8, 0.6)
20200822135134;0;0;;;0.6875;0.7625;2.096875;0;0;0.01662891;1.556156;0.1547805;(0.1, -0.8, 0.6)
20200822135136;0;0;;;0.6875;0.7625;2.096875;0;0;-0.4337351;1.489992;0.04025869;(-0.2, -0.9, 0.4)
20200822135138;0;0;;;0.6875;0.7625;2.096875;0;0;0.04959302;1.572042;0.1328874;(0.1, -0.7, 0.7)
20200822135140;0;0;;;0.6875;0.7625;2.096875;0;0;0.08277974;1.58973;0.1232708;(0.4, -0.7, 0.6)
20200822135142;0;0;;;0.6875;0.7625;2.096875;0;0;0.07117108;1.590234;0.1262559;(0.1, -0.7, 0.7)
20200822135144;0;0;;;0.6875;0.7625;2.096875;0;0;0.005343229;1.53592;0.1797342;(0.0, -0.9, 0.5)
20200822135146;0;0;;;0.6875;0.7625;2.096875;0;0;-0.00129088;1.547872;0.1471383;(0.0, -0.8, 0.6)
20200822135148;0;0;;;0.6875;0.7625;2.096875;0;0;0.006963916;1.669725;0.1033796;(-0.1, 0.1, 1.0)
20200822135150;0;0;;;0.6875;0.7625;2.096875;0;0;-0.0006190389;1.66822;0.09462018;(-0.1, 0.1, 1.0)
20200822135152;0;0;;;0.6875;0.7625;2.096875;0;0;0.00238692;1.669523;0.1001508;(-0.1, 0.2, 1.0)
20200822135154;0;0;;;0.6875;0.7625;2.096875;0;0;0.0008821487;1.669686;0.1040195;(-0.1, 0.2, 1.0)
20200822135156;0;0;;;0.6875;0.7625;2.096875;0;0;0.001118414;1.66999;0.09938471;(-0.1, 0.2, 1.0)
